,Random order,Original order,link,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length 1,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 42,User
137,0.08323631299999999,6368,https://www.zalando.co.uk/needle-and-thread-fifi-long-sleeve-ankle-gown-occasion-wear-petal-pink-nt521c0f0-j11.html,Needle & Thread,FIFI LONG SLEEVE ANKLE GOWN , Occasion wear,Occasion dresses,614.99,pastel pink,,,Tulle,,100% polyester,100% polyester,Dry clean only,,,,Zip,Crew neck,,"Bust darts, slip, sequins, border, embroidery",NT521C0F0-J11,Long,"24.5 "" (Size 8)","54.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lepe@piso.be
2226,0.081823886,3950,https://www.zalando.co.uk/hofmann-copenhagen-cori-day-dress-golden-hour-0hc21c02l-e11.html,Hofmann Copenhagen,CORI , Day dress,summer-dresses,334.99,yellow,,,,,"50% polyester, 50% cotton",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Laces,Cache-coeur,Checked,"Inseam pockets, slip",0HC21C02L-E11,Calf-length,Elbow length,"48.0 "" (Size 8)",Regular Fit,,"15.5 "" (Size 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lepe@piso.be
1930,0.756029265,5854,https://www.zalando.co.uk/missguided-petite-shirred-waist-tiered-dress-ditsy-day-dress-blue-m0v21c0ks-k11.html,Missguided Petite,SHIRRED WAIST TIERED DRESS DITSY , Day dress,summer-dresses,30.99,blue,,,,,100% polyester,100% polyester,Machine wash at 30°C,,,,,Square neck,Floral,,M0V21C0KS-K11,Extra short,"23.0 "" (Size 8)","30.5 "" (Size 8)",Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lepe@piso.be
2299,0.254959708,2246,https://www.zalando.co.uk/yas-yasindigo-dress-day-dress-palace-blue-y0121c1ve-k11.html,YAS,YASINDIGO DRESS , Day dress,summer-dresses,59.99,electric blue,,Yes,,Semi-sheer,100% viscose,,"Do not tumble dry, machine wash at 30°C",Mandarin collar,,,,,Floral,Bust darts,Y0121C1VE-K11,Knee-length,Long,,Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lepe@piso.be
1859,0.986879572,2844,https://www.zalando.co.uk/massimo-dutti-day-dress-beige-m3i21c0j9-b11.html,Massimo Dutti,MIT VOLANTS  , Day dress,summer-dresses,169.0,white,,,,,100% viscose,100% polyester,,,,,,Low-cut v-neck,Plain,Slip,M3I21C0J9-B11,Calf-length,Extra long,,Loose Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lepe@piso.be
83,0.433742965,899,https://www.zalando.co.uk/vila-vipassa-strap-short-dress-day-dress-mars-red-v1021c2hv-g11.html,Vila,VIPASSA STRAP SHORT DRESS , Day dress,summer-dresses,34.99,red,,,Mesh,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Low-cut v-neck,Floral,Slip,V1021C2HV-G11,Knee-length,Sleeveless,"36.0 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lepe@piso.be
1271,0.307172127,5858,https://www.zalando.co.uk/missguided-petite-ruched-bust-dress-floral-day-dress-yellow-m0v21c0k6-e11.html,Missguided Petite,RUCHED BUST DRESS FLORAL , Day dress,summer-dresses,25.99,pastel yellow,,,,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Square neck,Floral,Slip,M0V21C0K6-E11,Extra short,Elbow length,"28.5 "" (Size 8)",Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lepe@piso.be
1321,0.28434547,4572,https://www.zalando.co.uk/mango-diro-day-dress-groen-m9121c5i5-m11.html,Mango,DIRO , Day dress,summer-dresses,49.99,green,,,,,100% polyester,,"Do not tumble dry, machine wash at 30°C",Standing collar,,,Zip,,Print,,M9121C5I5-M11,Calf-length,Long,,Regular Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lepe@piso.be
1627,0.07416629799999999,2314,https://www.zalando.co.uk/guess-jemma-day-dress-rotmerf-gu121c11q-g11.html,Guess,JEMMA , Day dress,summer-dresses,89.99,bordeaux,,,,,"92% polyamide, 8% elastane",,,,,,,Crew neck,Print,,GU121C11Q-G11,Short,Long,,Slim Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lepe@piso.be
275,0.545879524,7354,https://www.zalando.co.uk/vero-moda-vmjean-wrap-dress-day-dress-navy-blazer-ve121c2q5-k11.html,Vero Moda,VMJEAN WRAP DRESS  , Cocktail dress / Party dress,Cocktail Dresses,35.99,navy,,,Chiffon,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur",,Asymmetrical,,,Cache-coeur,Plain,Slip,VE121C2Q5-K11,Short,Elbow length,"35.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","13.0 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lepe@piso.be
