,Random order,Original order,link,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length 1,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 42
2062,0.988291293,2973,https://www.zalando.co.uk/tommy-jeans-logo-repeat-hoodie-dress-day-dress-black-tob21c06j-q11.html,Tommy Jeans,LOGO REPEAT HOODIE DRESS , Day dress,summer-dresses,Â£79.99,black,,,Sweat,,"65% cotton, 35% polyester",,"Do not tumble dry, machine wash at 30Â°C",Hood,,Hoodie pocket,,,Print,,TOB21C06J-Q11,Short,"23.0 "" (Size S)","33.5 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.390890444,3807,https://www.zalando.co.uk/see-by-chloe-day-dress-sand-se321e04e-b11.html,See by ChloÃ©,Day dress,,summer-dresses,Â£255.00,sand,,,Canvas,,"54% cotton, 44% polyamide, 2% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,,Laces,Low-cut v-neck,Plain,,SE321E04E-B11,Short,Sleeveless,"35.0 "" (Size 10)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 10","17.0 "" (Size 10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,0.433742965,899,https://www.zalando.co.uk/vila-vipassa-strap-short-dress-day-dress-mars-red-v1021c2hv-g11.html,Vila,VIPASSA STRAP SHORT DRESS , Day dress,summer-dresses,Â£34.99,red,,,Mesh,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Low-cut v-neck,Floral,Slip,V1021C2HV-G11,Knee-length,Sleeveless,"36.0 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,0.870669151,4036,https://www.zalando.co.uk/diesel-shift-dress-red-di121c0bt-g11.html,Diesel,Day dress,,summer-dresses,Â£139.99,red,,,,,"74% nylon, 26% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Laces,Crew neck,,,DI121C0BT-G11,Short,Spaghetti straps,"37.0 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,0.236467197,3995,https://www.zalando.co.uk/lauren-ralph-lauren-dougal-day-dress-day-dress-blackpale-cream-l4221c1ci-q11.html,Lauren Ralph Lauren,STRIPED BUTTON,TRIM COTTON DRESS ,summer-dresses,Â£139.99,black/white,,,Jersey,,"53% cotton, 41% viscose, 6% elastane",,"Machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Crew neck,Striped,"Button row, decorative buttons",L4221C1CI-Q11,Short,"16.5 "" (Size 8/10)","33.5 "" (Size 8/10)",Slim Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,0.416082294,4605,https://www.zalando.co.uk/mango-day-dress-pomaranczowy-m9121c5iw-h11.html,Mango,VOLE,H ,summer-dresses,Â£35.99,orange,,,,,100% cotton,100% viscose,"Do not tumble dry, machine wash at 30Â°C",,,,,Crew neck,Plain,,M9121C5IW-H11,Short,Elbow length,,Loose Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0.5431703179999999,5619,https://www.zalando.co.uk/vero-moda-vmkatniss-short-dress-day-dress-black-ve121c2pa-q11.html,Vero Moda,VMKATNISS SHORT DRESS , Day dress,summer-dresses,Â£31.49,black,,,Chiffon,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,Button,Crew neck,Floral,"Belt included, bust darts, slip",VE121C2PA-Q11,Short,Sleeveless,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,0.433742965,899,https://www.zalando.co.uk/vila-vipassa-strap-short-dress-day-dress-mars-red-v1021c2hv-g11.html,Vila,VIPASSA STRAP SHORT DRESS , Day dress,summer-dresses,Â£34.99,red,,,Mesh,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Low-cut v-neck,Floral,Slip,V1021C2HV-G11,Knee-length,Sleeveless,"36.0 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,0.011978002,248,https://www.zalando.co.uk/only-tall-onlolivia-dress-day-dress-chinois-green-ond21c05c-m11.html,ONLY Tall,ONLOLIVIA DRESS , Day dress,summer-dresses,Â£25.99,pastel green,,,,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,Laces,Cache-coeur,Floral,Bust darts,OND21C05C-M11,Knee-length,Short,,Slim Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,0.870669151,4036,https://www.zalando.co.uk/diesel-shift-dress-red-di121c0bt-g11.html,Diesel,Day dress,,summer-dresses,Â£139.99,red,,,,,"74% nylon, 26% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Laces,Crew neck,,,DI121C0BT-G11,Short,Spaghetti straps,"37.0 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
